index, result, benchmark, correct
124, 6, 6, correct
125, 3, 3, correct
126, 8, 8, correct
127, 7, 7, correct
128, 1, 8, miss
129, 4, 4, correct
130, 3, 3, correct
131, 5, 5, correct
132, 6, 6, correct
133, 0, 0, correct
134, 0, 0, correct
135, 0, 0, correct
136, 3, 3, correct
137, 1, 1, correct
138, 5, 3, miss
139, 6, 0, miss
140, 4, 4, correct
141, 3, 3, correct
142, 4, 4, correct
143, 5, 5, correct
144, 5, 5, correct
145, 8, 8, correct
146, 7, 7, correct
147, 7, 7, correct
148, 2, 2, correct
149, 8, 8, correct
150, 4, 4, correct
151, 3, 3, correct
152, 5, 5, correct
153, 6, 6, correct
154, 5, 5, correct
155, 8, 3, miss
156, 7, 7, correct
157, 5, 5, correct
158, 7, 7, correct
159, 8, 8, correct
160, 3, 3, correct
161, 0, 0, correct
162, 4, 4, correct
163, 5, 5, correct
164, 1, 1, correct
165, 2, 8, miss
166, 7, 7, correct
167, 6, 6, correct
168, 3, 3, correct
169, 0, 0, correct
170, 2, 2, correct
171, 7, 7, correct
172, 9, 9, correct
173, 6, 6, correct
174, 1, 1, correct
175, 3, 3, correct
176, 7, 7, correct
177, 4, 4, correct
178, 1, 1, correct
179, 2, 2, correct
180, 4, 4, correct
181, 8, 2, miss
182, 5, 8, miss
183, 2, 2, correct
184, 4, 4, correct
185, 9, 9, correct
186, 2, 2, correct
187, 1, 1, correct
188, 6, 6, correct
189, 0, 0, correct
190, 6, 6, correct
191, 1, 1, correct
192, 4, 4, correct
193, 9, 9, correct
194, 6, 6, correct
195, 0, 0, correct
196, 9, 9, correct
197, 7, 7, correct
198, 6, 6, correct
199, 9, 9, correct
200, 1, 1, correct
201, 9, 9, correct
202, 0, 0, correct
203, 9, 9, correct
204, 9, 9, correct
205, 0, 0, correct
206, 8, 8, correct
207, 4, 4, correct
208, 6, 6, correct
209, 2, 2, correct
210, 0, 0, correct
211, 9, 9, correct
212, 3, 3, correct
213, 6, 6, correct
214, 9, 9, correct
215, 2, 2, correct
216, 1, 1, correct
217, 6, 6, correct
218, 3, 3, correct
219, 4, 4, correct
220, 2, 2, correct
221, 3, 3, correct
222, 1, 1, correct
223, 0, 2, miss
224, 2, 2, correct
225, 0, 0, correct
226, 4, 4, correct
227, 6, 6, correct
228, 1, 1, correct
229, 0, 0, correct
230, 0, 0, correct
231, 4, 4, correct
232, 9, 9, correct
233, 1, 1, correct
234, 7, 7, correct
235, 3, 3, correct
236, 2, 2, correct
237, 3, 2, miss
238, 8, 8, correct
239, 6, 6, correct
240, 8, 8, correct
241, 6, 6, correct
242, 2, 2, correct
243, 8, 8, correct
244, 5, 5, correct
245, 5, 5, correct
246, 9, 9, correct
247, 8, 8, correct
248, 3, 3, correct
249, 5, 9, miss
250, 9, 9, correct
251, 7, 7, correct
252, 1, 1, correct
253, 3, 3, correct
254, 8, 8, correct
255, 4, 4, correct
256, 5, 5, correct
257, 1, 1, correct
258, 4, 4, correct
259, 3, 3, correct
260, 6, 6, correct
261, 3, 3, correct
262, 3, 3, correct
263, 5, 5, correct
264, 7, 7, correct
265, 0, 0, correct
266, 6, 6, correct
267, 8, 8, correct
268, 3, 3, correct
269, 1, 1, correct
270, 6, 6, correct
271, 0, 0, correct
272, 6, 6, correct
273, 3, 3, correct
274, 9, 5, miss
275, 5, 5, correct
276, 1, 1, correct
277, 5, 5, correct
278, 8, 8, correct
279, 4, 4, correct
280, 0, 0, correct
281, 9, 9, correct
282, 2, 2, correct
283, 0, 0, correct
284, 5, 5, correct
285, 3, 3, correct
286, 7, 7, correct
287, 1, 8, miss
288, 9, 9, correct
289, 9, 9, correct
290, 5, 5, correct
291, 7, 7, correct
292, 7, 7, correct
293, 9, 9, correct
294, 9, 9, correct
295, 6, 6, correct
296, 3, 3, correct
297, 0, 0, correct
298, 3, 3, correct
299, 3, 3, correct
300, 6, 6, correct
301, 9, 9, correct
302, 8, 8, correct
303, 2, 2, correct
304, 6, 6, correct
305, 2, 2, correct
306, 7, 7, correct
307, 1, 1, correct
308, 4, 4, correct
309, 5, 5, correct
310, 8, 8, correct
311, 5, 5, correct
312, 9, 9, correct
313, 0, 0, correct
314, 0, 0, correct
315, 3, 3, correct
316, 9, 8, miss
317, 4, 4, correct
318, 1, 1, correct
319, 8, 8, correct
320, 4, 4, correct
321, 1, 1, correct
322, 1, 1, correct
323, 9, 9, correct
324, 8, 8, correct
325, 4, 4, correct
326, 5, 3, miss
327, 1, 1, correct
328, 5, 5, correct
329, 3, 3, correct
330, 6, 6, correct
331, 3, 3, correct
332, 1, 1, correct
333, 3, 3, correct
334, 0, 0, correct
335, 9, 9, correct
336, 0, 0, correct
337, 0, 0, correct
338, 6, 6, correct
339, 0, 0, correct
340, 6, 6, correct
341, 3, 2, miss
342, 1, 1, correct
343, 8, 8, correct
344, 6, 6, correct
345, 0, 0, correct
346, 6, 6, correct
347, 5, 5, correct
348, 2, 2, correct
349, 2, 2, correct
350, 6, 6, correct
351, 7, 7, correct
352, 7, 7, correct
353, 1, 2, miss
354, 5, 5, correct
355, 8, 8, correct
356, 8, 8, correct
357, 9, 9, correct
358, 2, 2, correct
359, 1, 9, miss
360, 3, 2, miss
361, 6, 6, correct
362, 3, 3, correct
363, 8, 8, correct
364, 9, 4, miss
365, 2, 2, correct
366, 3, 3, correct
367, 8, 8, correct
368, 1, 1, correct
369, 6, 6, correct
370, 4, 4, correct
371, 5, 8, miss
372, 7, 7, correct
373, 9, 9, correct
374, 7, 7, correct
375, 6, 6, correct
376, 9, 9, correct
377, 5, 5, correct
378, 3, 3, correct
379, 7, 7, correct
380, 6, 6, correct
381, 5, 5, correct
382, 5, 5, correct
383, 4, 4, correct
384, 2, 2, correct
385, 6, 6, correct
386, 1, 2, miss
387, 1, 1, correct
388, 3, 3, correct
389, 7, 7, correct
390, 1, 1, correct
391, 7, 7, correct
392, 9, 9, correct
393, 9, 9, correct
394, 6, 6, correct
395, 1, 1, correct
396, 1, 1, correct
397, 1, 1, correct
398, 7, 7, correct
399, 3, 3, correct
400, 9, 9, correct
401, 7, 7, correct
402, 6, 6, correct
403, 1, 1, correct
404, 1, 1, correct
405, 1, 1, correct
406, 9, 9, correct
407, 3, 3, correct
408, 8, 5, miss
409, 0, 5, miss
410, 5, 5, correct
411, 0, 0, correct
412, 4, 4, correct
413, 1, 1, correct
414, 2, 2, correct
415, 3, 3, correct
416, 1, 1, correct
417, 1, 1, correct
418, 3, 3, correct
419, 5, 5, correct
420, 9, 9, correct
421, 6, 6, correct
422, 6, 6, correct
423, 5, 5, correct
424, 3, 3, correct
425, 1, 1, correct
426, 4, 4, correct
427, 7, 7, correct
428, 7, 4, miss
429, 7, 7, correct
430, 4, 4, correct
431, 8, 8, correct
432, 5, 5, correct
433, 2, 2, correct
434, 6, 6, correct
435, 1, 1, correct
436, 3, 3, correct
437, 9, 9, correct
438, 5, 5, correct
439, 0, 0, correct
440, 8, 8, correct
441, 4, 4, correct
442, 7, 7, correct
443, 4, 4, correct
444, 6, 4, miss
445, 4, 4, correct
446, 1, 1, correct
447, 5, 5, correct
448, 3, 3, correct
449, 9, 9, correct
450, 9, 5, miss
451, 7, 7, correct
452, 6, 6, correct
453, 9, 9, correct
454, 5, 5, correct
455, 9, 9, correct
456, 2, 2, correct
457, 3, 3, correct
458, 1, 1, correct
459, 6, 6, correct
460, 1, 6, miss
461, 7, 7, correct
462, 5, 5, correct
463, 0, 0, correct
464, 5, 5, correct
465, 1, 1, correct
466, 7, 7, correct
467, 4, 4, correct
468, 4, 4, correct
469, 1, 1, correct
470, 1, 1, correct
471, 4, 4, correct
472, 9, 9, correct
473, 5, 5, correct
474, 6, 6, correct
475, 0, 0, correct
476, 1, 1, correct
477, 3, 3, correct
478, 1, 1, correct
479, 0, 0, correct
480, 4, 4, correct
481, 8, 8, correct
482, 1, 1, correct
483, 2, 2, correct
484, 7, 7, correct
485, 9, 9, correct
486, 4, 4, correct
487, 8, 8, correct
488, 3, 3, correct
489, 7, 7, correct
490, 7, 7, correct
491, 4, 4, correct
492, 2, 2, correct
493, 4, 4, correct
494, 2, 6, miss
495, 7, 7, correct
496, 5, 6, miss
497, 3, 3, correct
498, 2, 2, correct
499, 0, 0, correct
500, 6, 6, correct
501, 5, 5, correct
502, 9, 9, correct
503, 4, 4, correct
504, 1, 1, correct
505, 8, 8, correct
506, 3, 3, correct
507, 3, 3, correct
508, 0, 0, correct
509, 6, 6, correct
510, 7, 7, correct
511, 6, 8, miss
512, 8, 8, correct
513, 7, 7, correct
514, 5, 3, miss
515, 3, 3, correct
516, 5, 5, correct
517, 7, 7, correct
518, 4, 4, correct
519, 3, 3, correct
520, 6, 0, miss
521, 9, 9, correct
522, 0, 0, correct
523, 7, 7, correct
524, 7, 7, correct
525, 1, 1, correct
526, 0, 0, correct
527, 1, 1, correct
528, 1, 1, correct
529, 7, 7, correct
530, 0, 0, correct
531, 5, 5, correct
532, 3, 3, correct
533, 8, 8, correct
534, 1, 3, miss
535, 5, 5, correct
536, 6, 6, correct
537, 5, 5, correct
538, 7, 4, miss
539, 3, 3, correct
540, 0, 0, correct
541, 2, 2, correct
542, 8, 8, correct
543, 2, 2, correct
544, 0, 0, correct
545, 3, 3, correct
546, 0, 0, correct
547, 9, 9, correct
548, 2, 2, correct
549, 1, 1, correct
550, 1, 1, correct
551, 3, 3, correct
552, 0, 0, correct
553, 5, 5, correct
554, 0, 0, correct
555, 0, 0, correct
556, 7, 7, correct
557, 5, 5, correct
558, 6, 6, correct
559, 2, 2, correct
560, 0, 0, correct
561, 3, 3, correct
562, 8, 8, correct
563, 1, 1, correct
564, 6, 6, correct
565, 5, 5, correct
566, 4, 4, correct
567, 1, 1, correct
568, 1, 1, correct
569, 9, 4, miss
570, 6, 6, correct
571, 5, 5, correct
572, 3, 3, correct
573, 6, 6, correct
574, 0, 0, correct
575, 4, 4, correct
576, 8, 8, correct
577, 2, 2, correct
578, 4, 4, correct
579, 2, 2, correct
580, 5, 5, correct
581, 1, 1, correct
582, 7, 7, correct
583, 6, 6, correct
584, 9, 9, correct
585, 1, 1, correct
586, 7, 7, correct
587, 3, 3, correct
588, 8, 8, correct
589, 0, 8, miss
590, 8, 8, correct
591, 8, 8, correct
592, 4, 4, correct
593, 5, 5, correct
594, 3, 3, correct
595, 6, 6, correct
596, 6, 6, correct
597, 6, 6, correct
598, 0, 0, correct
599, 3, 3, correct
600, 1, 5, miss
601, 1, 1, correct
602, 7, 7, correct
603, 1, 1, correct
604, 6, 6, correct
605, 2, 2, correct
606, 8, 8, correct
607, 5, 5, correct
608, 6, 6, correct
609, 4, 4, correct
610, 7, 7, correct
611, 4, 4, correct
612, 3, 3, correct
613, 3, 3, correct
614, 2, 2, correct
615, 4, 4, correct
616, 7, 7, correct
617, 0, 0, correct
618, 0, 0, correct
619, 9, 9, correct
620, 8, 8, correct
621, 5, 5, correct
622, 9, 9, correct
623, 4, 4, correct
624, 0, 0, correct
625, 8, 8, correct
626, 1, 1, correct
627, 3, 3, correct
628, 6, 6, correct
629, 2, 7, miss
630, 6, 6, correct
631, 1, 1, correct
632, 8, 8, correct
633, 6, 6, correct
634, 1, 1, correct
635, 4, 4, correct
636, 7, 7, correct
637, 7, 7, correct
638, 8, 8, correct
639, 3, 3, correct
640, 0, 0, correct
641, 9, 9, correct
642, 9, 9, correct
643, 6, 6, correct
644, 7, 7, correct
645, 7, 7, correct
646, 4, 4, correct
647, 8, 4, miss
648, 1, 1, correct
649, 8, 8, correct
650, 9, 4, miss
651, 9, 9, correct
652, 0, 0, correct
653, 2, 0, miss
654, 8, 8, correct
655, 2, 2, correct
656, 4, 4, correct
657, 3, 3, correct
658, 3, 3, correct
659, 7, 7, correct
660, 2, 2, correct
661, 3, 3, correct
662, 4, 4, correct
663, 0, 0, correct
664, 4, 4, correct
665, 8, 8, correct
666, 1, 1, correct
667, 3, 3, correct
668, 3, 5, miss
669, 6, 6, correct
670, 3, 3, correct
671, 9, 9, correct
672, 4, 4, correct
673, 3, 3, correct
674, 8, 8, correct
675, 7, 7, correct
676, 7, 7, correct
677, 2, 2, correct
678, 6, 6, correct
679, 0, 0, correct
680, 6, 6, correct
681, 9, 9, correct
682, 8, 8, correct
683, 1, 9, miss
684, 1, 1, correct
685, 3, 3, correct
686, 4, 4, correct
687, 6, 6, correct
688, 9, 9, correct
689, 9, 9, correct
690, 2, 2, correct
691, 6, 6, correct
692, 0, 0, correct
693, 1, 1, correct
694, 8, 8, correct
695, 4, 4, correct
696, 3, 3, correct
697, 9, 9, correct
698, 8, 8, correct
699, 8, 8, correct
700, 4, 4, correct
701, 0, 0, correct
702, 5, 5, correct
703, 0, 0, correct
704, 6, 6, correct
705, 0, 0, correct
706, 9, 4, miss
707, 4, 4, correct
708, 6, 6, correct
709, 5, 5, correct
710, 3, 5, miss
711, 8, 8, correct
712, 1, 1, correct
713, 5, 5, correct
714, 3, 3, correct
715, 6, 6, correct
716, 2, 2, correct
717, 3, 3, correct
718, 7, 7, correct
719, 8, 8, correct
720, 9, 9, correct
721, 3, 3, correct
722, 1, 1, correct
723, 0, 0, correct
724, 1, 1, correct
725, 0, 0, correct
726, 6, 6, correct
727, 4, 4, correct
728, 7, 7, correct
729, 5, 5, correct
730, 7, 7, correct
731, 1, 1, correct
732, 3, 3, correct
733, 2, 2, correct
734, 7, 7, correct
735, 7, 7, correct
736, 1, 1, correct
737, 6, 5, miss
738, 1, 1, correct
739, 5, 5, correct
740, 4, 4, correct
741, 4, 4, correct
742, 3, 3, correct
743, 4, 4, correct
744, 3, 3, correct
745, 9, 9, correct
746, 0, 0, correct
747, 7, 7, correct
748, 8, 8, correct
749, 6, 6, correct
750, 4, 4, correct
751, 9, 9, correct
752, 4, 4, correct
753, 4, 4, correct
754, 1, 1, correct
755, 4, 4, correct
756, 7, 7, correct
757, 1, 1, correct
758, 1, 1, correct
759, 8, 8, correct
760, 7, 2, miss
761, 0, 0, correct
762, 4, 4, correct
763, 0, 0, correct
764, 4, 4, correct
765, 0, 0, correct
766, 0, 0, correct
767, 5, 8, miss
768, 1, 1, correct
769, 8, 8, correct
770, 6, 6, correct
771, 5, 5, correct
772, 0, 0, correct
773, 1, 1, correct
774, 5, 5, correct
775, 3, 3, correct
776, 4, 4, correct
777, 6, 6, correct
778, 3, 3, correct
779, 1, 1, correct
780, 1, 1, correct
781, 6, 6, correct
782, 9, 9, correct
783, 8, 8, correct
784, 3, 3, correct
785, 5, 5, correct
786, 5, 5, correct
787, 9, 4, miss
788, 8, 8, correct
789, 8, 8, correct
790, 5, 5, correct
791, 0, 0, correct
792, 4, 4, correct
793, 0, 0, correct
794, 4, 4, correct
795, 3, 3, correct
796, 1, 1, correct
797, 6, 6, correct
798, 9, 9, correct
799, 7, 7, correct
800, 1, 1, correct
801, 1, 1, correct
802, 3, 3, correct
803, 3, 3, correct
804, 1, 1, correct
805, 4, 4, correct
806, 9, 9, correct
807, 6, 6, correct
808, 9, 9, correct
809, 1, 1, correct
810, 5, 5, correct
811, 4, 4, correct
812, 7, 7, correct
813, 3, 3, correct
814, 2, 2, correct
815, 4, 4, correct
816, 0, 0, correct
817, 9, 9, correct
818, 7, 7, correct
819, 4, 4, correct
820, 3, 3, correct
821, 0, 0, correct
822, 5, 5, correct
823, 0, 0, correct
824, 1, 1, correct
825, 9, 9, correct
826, 0, 0, correct
827, 4, 4, correct
828, 5, 5, correct
829, 2, 2, correct
830, 8, 8, correct
831, 0, 5, miss
832, 5, 5, correct
833, 9, 9, correct
834, 3, 3, correct
835, 9, 9, correct
836, 6, 6, correct
837, 1, 1, correct
838, 5, 5, correct
839, 5, 3, miss
840, 1, 1, correct
841, 9, 9, correct
842, 0, 0, correct
843, 8, 8, correct
844, 4, 4, correct
845, 6, 6, correct
846, 7, 7, correct
847, 2, 2, correct
848, 8, 8, correct
849, 5, 5, correct
850, 8, 8, correct
851, 9, 9, correct
852, 7, 7, correct
853, 7, 7, correct
854, 2, 2, correct
855, 8, 8, correct
856, 1, 1, correct
857, 3, 3, correct
858, 4, 4, correct
859, 5, 5, correct
860, 0, 0, correct
861, 4, 4, correct
862, 1, 1, correct
863, 4, 4, correct
864, 2, 2, correct
865, 3, 3, correct
866, 6, 6, correct
867, 9, 9, correct
868, 2, 2, correct
869, 3, 3, correct
870, 4, 4, correct
871, 5, 5, correct
872, 4, 4, correct
873, 2, 2, correct
874, 3, 0, miss
875, 8, 3, miss
876, 1, 1, correct
877, 1, 1, correct
878, 0, 0, correct
879, 1, 1, correct
880, 4, 4, correct
881, 9, 9, correct
882, 1, 1, correct
883, 1, 1, correct
884, 2, 2, correct
885, 7, 7, correct
886, 1, 1, correct
887, 5, 5, correct
888, 4, 4, correct
889, 9, 9, correct
890, 1, 1, correct
891, 7, 7, correct
892, 6, 6, correct
893, 0, 0, correct
894, 4, 4, correct
895, 2, 2, correct
896, 9, 9, correct
897, 4, 9, miss
898, 1, 1, correct
899, 1, 1, correct
900, 5, 5, correct
901, 3, 3, correct
902, 5, 5, correct
903, 7, 7, correct
904, 9, 9, correct
905, 7, 7, correct
906, 8, 8, correct
907, 3, 3, correct
908, 2, 2, correct
909, 7, 7, correct
910, 2, 2, correct
911, 0, 0, correct
912, 4, 4, correct
913, 7, 7, correct
914, 1, 1, correct
915, 6, 6, correct
916, 4, 4, correct
917, 6, 6, correct
918, 1, 1, correct
919, 5, 5, correct
920, 7, 7, correct
921, 3, 3, correct
922, 5, 5, correct
923, 9, 9, correct
924, 4, 4, correct
925, 7, 7, correct
926, 9, 9, correct
927, 6, 6, correct
928, 6, 6, correct
929, 3, 3, correct
930, 3, 3, correct
931, 2, 2, correct
932, 1, 1, correct
933, 4, 4, correct
934, 5, 5, correct
935, 3, 3, correct
936, 7, 7, correct
937, 7, 7, correct
938, 9, 9, correct
939, 5, 5, correct
940, 6, 6, correct
941, 0, 2, miss
942, 6, 6, correct
943, 1, 1, correct
944, 0, 0, correct
945, 9, 9, correct
946, 3, 3, correct
947, 2, 2, correct
948, 9, 9, correct
949, 2, 2, correct
950, 6, 6, correct
951, 7, 7, correct
952, 5, 5, correct
953, 2, 2, correct
954, 3, 3, correct
955, 2, 2, correct
956, 8, 8, correct
957, 3, 3, correct
958, 0, 6, miss
959, 2, 2, correct
960, 7, 7, correct
961, 9, 9, correct
962, 4, 4, correct
963, 0, 0, correct
964, 9, 9, correct
965, 5, 5, correct
966, 1, 1, correct
967, 8, 8, correct
968, 8, 8, correct
969, 5, 3, miss
970, 3, 3, correct
971, 2, 2, correct
972, 9, 9, correct
973, 6, 6, correct
974, 7, 7, correct
975, 0, 0, correct
976, 8, 8, correct
977, 0, 0, correct
978, 7, 7, correct
979, 4, 4, correct
980, 5, 5, correct
981, 8, 8, correct
982, 7, 7, correct
983, 9, 9, correct
984, 7, 7, correct
985, 7, 7, correct
986, 0, 0, correct
987, 5, 5, correct
988, 8, 3, miss
989, 2, 2, correct
990, 1, 1, correct
991, 9, 9, correct
992, 0, 0, correct
993, 6, 6, correct
994, 8, 8, correct
995, 3, 3, correct
996, 6, 6, correct
997, 2, 2, correct
998, 2, 2, correct
999, 9, 9, correct
1000, 0, 0, correct
1001, 7, 7, correct
1002, 0, 0, correct
1003, 7, 7, correct
1004, 1, 1, correct
1005, 3, 3, correct
1006, 4, 4, correct
1007, 6, 6, correct
1008, 3, 5, miss
1009, 9, 9, correct
1010, 2, 2, correct
1011, 6, 6, correct
1012, 3, 3, correct
1013, 7, 7, correct
1014, 3, 3, correct
1015, 7, 7, correct
1016, 2, 2, correct
1017, 3, 3, correct
1018, 4, 4, correct
1019, 9, 9, correct
1020, 5, 5, correct
1021, 9, 9, correct
1022, 4, 9, miss
1023, 6, 6, correct
1024, 2, 2, correct
1025, 6, 6, correct
1026, 1, 1, correct
1027, 5, 5, correct
1028, 5, 5, correct
1029, 1, 1, correct
1030, 9, 9, correct
1031, 1, 1, correct
1032, 8, 8, correct
1033, 9, 9, correct
1034, 4, 4, correct
1035, 5, 5, correct
1036, 9, 8, miss
1037, 5, 5, correct
1038, 2, 2, correct
1039, 0, 0, correct
1040, 1, 1, correct
1041, 6, 6, correct
1042, 1, 1, correct
1043, 9, 9, correct
1044, 2, 0, miss
1045, 2, 2, correct
1046, 7, 7, correct
1047, 7, 7, correct
1048, 6, 6, correct
1049, 6, 6, correct
1050, 2, 2, correct
1051, 6, 6, correct
1052, 3, 3, correct
1053, 5, 5, correct
1054, 9, 9, correct
1055, 1, 1, correct
1056, 1, 1, correct
1057, 3, 3, correct
1058, 6, 6, correct
1059, 3, 5, miss
1060, 0, 0, correct
1061, 0, 0, correct
1062, 6, 6, correct
1063, 0, 0, correct
1064, 9, 9, correct
1065, 4, 4, correct
1066, 7, 7, correct
1067, 0, 0, correct
1068, 5, 5, correct
1069, 9, 9, correct
1070, 0, 8, miss
1071, 8, 8, correct
1072, 7, 7, correct
1073, 6, 6, correct
1074, 9, 9, correct
1075, 2, 2, correct
1076, 6, 6, correct
1077, 1, 1, correct
1078, 2, 2, correct
1079, 9, 9, correct
1080, 3, 3, correct
1081, 0, 0, correct
1082, 2, 2, correct
1083, 3, 8, miss
1084, 7, 7, correct
1085, 7, 7, correct
1086, 6, 6, correct
1087, 6, 6, correct
1088, 3, 3, correct
1089, 1, 1, correct
1090, 3, 3, correct
1091, 1, 1, correct
1092, 0, 0, correct
1093, 1, 1, correct
1094, 7, 7, correct
1095, 6, 6, correct
1096, 5, 3, miss
1097, 3, 3, correct
1098, 5, 3, miss
1099, 3, 3, correct
1100, 4, 4, correct
1101, 2, 2, correct
1102, 9, 9, correct
1103, 1, 1, correct
1104, 8, 8, correct
1105, 2, 2, correct
1106, 0, 0, correct
1107, 6, 6, correct
1108, 4, 4, correct
1109, 6, 6, correct
1110, 7, 7, correct
1111, 2, 2, correct
1112, 4, 4, correct
1113, 1, 1, correct
1114, 0, 0, correct
1115, 5, 5, correct
1116, 2, 2, correct
1117, 6, 6, correct
1118, 1, 6, miss
1119, 9, 9, correct
1120, 8, 8, correct
1121, 5, 5, correct
1122, 4, 4, correct
1123, 1, 1, correct
1124, 6, 6, correct
1125, 3, 3, correct
1126, 9, 8, miss
1127, 6, 6, correct
1128, 1, 1, correct
1129, 2, 2, correct
1130, 0, 0, correct
1131, 8, 3, miss
1132, 8, 8, correct
1133, 0, 0, correct
1134, 3, 3, correct
1135, 6, 6, correct
1136, 8, 8, correct
1137, 1, 7, miss
1138, 7, 7, correct
1139, 7, 7, correct
1140, 6, 6, correct
1141, 0, 0, correct
1142, 1, 2, miss
1143, 1, 1, correct
1144, 2, 2, correct
1145, 8, 8, correct
1146, 4, 4, correct
1147, 5, 5, correct
1148, 5, 5, correct
1149, 3, 3, correct
1150, 6, 6, correct
1151, 7, 7, correct
1152, 8, 8, correct
1153, 4, 4, correct
1154, 7, 7, correct
1155, 4, 4, correct
1156, 9, 9, correct
1157, 1, 1, correct
1158, 8, 8, correct
1159, 0, 0, correct
1160, 9, 9, correct
1161, 1, 1, correct
1162, 9, 7, miss
1163, 0, 0, correct
1164, 6, 6, correct
1165, 4, 4, correct
1166, 1, 1, correct
1167, 2, 2, correct
1168, 4, 4, correct
1169, 5, 5, correct
1170, 8, 8, correct
1171, 2, 2, correct
1172, 9, 9, correct
1173, 1, 1, correct
1174, 8, 8, correct
1175, 2, 2, correct
1176, 2, 2, correct
1177, 7, 7, correct
1178, 2, 2, correct
1179, 5, 5, correct
1180, 3, 3, correct
1181, 8, 8, correct
1182, 9, 9, correct
1183, 9, 9, correct
1184, 0, 0, correct
1185, 7, 7, correct
1186, 0, 0, correct
1187, 3, 3, correct
1188, 5, 0, miss
1189, 9, 9, correct
1190, 7, 7, correct
1191, 3, 3, correct
1192, 3, 3, correct
1193, 8, 8, correct
1194, 8, 8, correct
1195, 9, 9, correct
1196, 3, 3, correct
1197, 2, 2, correct
1198, 5, 5, correct
1199, 4, 4, correct
1200, 4, 4, correct
1201, 8, 8, correct
1202, 3, 3, correct
1203, 0, 0, correct
1204, 1, 1, correct
1205, 7, 7, correct
1206, 9, 9, correct
1207, 6, 6, correct
1208, 4, 4, correct
1209, 0, 0, correct
1210, 4, 4, correct
1211, 7, 2, miss
1212, 8, 8, correct
1213, 4, 4, correct
1214, 5, 5, correct
1215, 9, 9, correct
1216, 6, 6, correct
1217, 7, 7, correct
1218, 8, 8, correct
1219, 2, 2, correct
1220, 0, 0, correct
1221, 0, 0, correct
1222, 5, 5, correct
1223, 0, 0, correct
1224, 5, 5, correct
1225, 9, 9, correct
1226, 9, 9, correct
1227, 9, 9, correct
1228, 7, 9, miss
1229, 5, 5, correct
1230, 4, 4, correct
1231, 3, 3, correct
1232, 0, 0, correct
1233, 5, 5, correct
1234, 4, 4, correct
1235, 1, 1, correct
1236, 9, 9, correct
1237, 5, 5, correct
1238, 4, 4, correct
1239, 9, 9, correct
1240, 9, 9, correct
1241, 5, 5, correct
1242, 7, 7, correct
1243, 5, 8, miss
1244, 0, 2, miss
1245, 4, 4, correct
1246, 1, 7, miss
1247, 4, 4, correct
